Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;UPZ;Zona;Valor
Apartamento;Apartamento en venta en USAQUEN;4;4;301;USAQUEN;USAQUEN;USAQUEN;$ 2.400.000.000
Apartamento;Apartamento en venta en Cedritos;1;1;57;Cedritos;USAQUEN;USAQUEN;$ 320.000.000
Casa;Casa en venta en Santa Paula;4;3;220;Santa Paula;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 1.300.000.000
Apartamento;Apartamento en venta en Santa Barbara;3;3;314;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 2.200.000.000
Casa;Casa en venta en San Patricio;3;5;331;San Patricio;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 2.500.000.000
Apartamento;Apartamento en venta en Santa Barbara;3;3;175;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 1.050.000.000
Apartamento;Apartamento en venta en Santa Barbara;4;5;220;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 1.180.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;63;USAQUEN;USAQUEN;USAQUEN;$ 360.000.000
Apartamento;Apartamento en venta en USAQUEN;3;3;128;USAQUEN;USAQUEN;USAQUEN;$ 590.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;3;93;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 740.607.900
Casa;Casa en venta en Madelena;3;2;82;Madelena;Arborizadora;Arborizadora;$ 250.000.000
Casa;Casa en venta en Zona Noroccidental;5;5;753;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 2.950.000.000
Casa;Casa en venta en Los Rosales;3;3;158;Los Rosales;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 1.180.000.000
Apartamento;Apartamento en venta en Santa Barbara;1;1;46;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 280.000.000
Casa;Casa en venta en Engativa;4;2;177;Engativa;Engativa;Engativa;$ 639.000.000
Apartamento;Apartamento en venta en Los Rosales;3;4;257;Los Rosales;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 2.300.000.000
Apartamento;Apartamento en venta en Bosa;3;2;45;Bosa;Bosa Central;Bosa Central;$ 144.000.000
Apartamento;Apartamento en venta en Cedritos;3;5;141;Cedritos;USAQUEN;USAQUEN;$ 890.000.000
Apartamento;Apartamento en venta en USAQUEN;5;4;150;USAQUEN;USAQUEN;USAQUEN;$ 580.000.000
Casa;Casa en venta en USAQUEN;10;6;200;USAQUEN;USAQUEN;USAQUEN;$ 1.350.000.000
Apartamento;Apartamento en venta en USAQUEN;5;3;193;USAQUEN;USAQUEN;USAQUEN;$ 895.000.000
Casa;Casa en venta en Barrios Unidos;4;4;400;Barrios Unidos;Los Andes;Los Andes;$ 2.600.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;49;Barrios Unidos;Los Andes;Los Andes;$ 100.000.000
Apartamento;Apartamento en venta en Barrios Unidos;2;2;74;Barrios Unidos;Los Andes;Los Andes;$ 270.000.000
Apartamento;Apartamento en venta en Las Nieves;2;2;65;Las Nieves;SANTA FE: Las Nieves + Sagrado Corazon;SANTA FE;$ 670.000.000
Casa;Casa en venta en Normandia;5;3;232;Normandia;ENGATIVÁ: Santa Cecilia + Jardin  Botanico;ENGATIVÁ;$ 1.100.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;50;USAQUEN;USAQUEN;USAQUEN;$ 245.000.000
Apartamento;Apartamento en venta en Modelia;3;2;78;Modelia;Fontibon;Fontibon;$ 620.000.000
Casa;Casa en venta en Barrios Unidos;6;3;283;Barrios Unidos;Los Andes;Los Andes;$ 690.000.000
Casa;Casa en venta en Bella Suiza;3;4;195;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 800.000.000
Casa;Casa en venta en Pasadena ;3;3;161;Pasadena ;;0;$ 950.000.000
Apartamento;Apartamento en venta en USAQUEN;4;5;193;USAQUEN;USAQUEN;USAQUEN;$ 1.600.000.000
Apartamento;Apartamento en venta en Kennedy;3;2;57;Kennedy;Kennedy Central;Kennedy Central;$ 199.000.000
Apartamento;Apartamento en venta en USAQUEN;3;3;101;USAQUEN;USAQUEN;USAQUEN;$ 460.000.000
Apartamento;Apartamento en venta en Villa Alsacia;3;2;54;Villa Alsacia;KENNEDY: Castilla + Bavaria;KENNEDY;$ 270.000.000
Apartamento;Apartamento en venta en La Calleja;3;3;110;La Calleja;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 730.000.000
Casa;Casa en venta en Puente Aranda;5;3;265;Puente Aranda;PUENTE ARANDA: Zona Industrial + Puente Aranda;PUENTE ARANDA;$ 650.000.000
Apartamento;Apartamento en venta en Chapinero;2;2;58;Chapinero;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 540.000.000
Casa;Casa en venta en Puente Aranda;7;3;150;Puente Aranda;PUENTE ARANDA: Zona Industrial + Puente Aranda;PUENTE ARANDA;$ 530.000.000
Apartamento;Apartamento en venta en Suba;2;2;65;Suba;Suba;Suba;$ 389.000.000
Apartamento;Apartamento en venta en La Calleja;3;3;110;La Calleja;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 650.000.000
Apartamento;Apartamento en venta en Kennedy;3;2;57;Kennedy;Kennedy Central;Kennedy Central;$ 199.000.000
Apartamento;Apartamento en venta en Suba;2;2;55;Suba;Suba;Suba;$ 240.000.000
Local;Local en venta en Quinta Camacho;16;9;1050;Quinta Camacho;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 5.299.999.744
Casa;Casa en venta en Barrios Unidos;3;3;102;Barrios Unidos;Los Andes;Los Andes;$ 360.000.000
Oficina/Consultorio;Oficina/Consultorio en venta en Santa Barbara;4;4;240;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 1.250.000.000
Apartamento;Apartamento en venta en Barrios Unidos;2;2;115;Barrios Unidos;Los Andes;Los Andes;$ 680.000.000
Casa;Casa en venta en Puente Largo;2;4;189;Puente Largo;La Alhambra;La Alhambra;$ 950.000.000
Apartamento;Apartamento en venta en Chico Norte Ii;1;1;71;Chico Norte Ii;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 480.000.000
Apartamento;Apartamento en venta en Chapinero;2;2;58;Chapinero;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 435.000.000
Apartamento;Apartamento en venta en El Batan;3;3;103;El Batan;La Alhambra;La Alhambra;$ 520.000.000
Casa;Casa en venta en Barrios Unidos;2;2;111;Barrios Unidos;Los Andes;Los Andes;$ 720.000.000
Apartamento;Apartamento en venta en Barrios Unidos;1;1;28;Barrios Unidos;Los Andes;Los Andes;$ 250.000.000
Apartamento;Apartamento en venta en Lagos De Cordoba;3;3;100;Lagos De Cordoba;Niza;Niza;$ 520.000.000
Apartamento;Apartamento en venta en Chapinero;2;2;58;Chapinero;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 435.000.000
Apartamento;Apartamento en venta en El Batan;3;3;103;El Batan;La Alhambra;La Alhambra;$ 520.000.000
Casa;Casa en venta en Barrios Unidos;2;2;111;Barrios Unidos;Los Andes;Los Andes;$ 720.000.000
Apartamento;Apartamento en venta en Barrios Unidos;1;1;28;Barrios Unidos;Los Andes;Los Andes;$ 250.000.000
Apartamento;Apartamento en venta en Lagos De Cordoba;3;3;100;Lagos De Cordoba;Niza;Niza;$ 520.000.000
Apartamento;Apartamento en venta en Engativa;3;2;60;Engativa;Engativa;Engativa;$ 260.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;101;Barrios Unidos;Los Andes;Los Andes;$ 470.000.000
Apartamento;Apartamento en venta en Palermo;2;1;49;Palermo;Galerias;Galerias;$ 330.000.000
Apartamento;Apartamento en venta en USAQUEN;4;5;193;USAQUEN;USAQUEN;USAQUEN;$ 1.600.000.000
Apartamento;Apartamento en venta en Chico Norte;4;4;177;Chico Norte;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 950.000.000
Apartamento;Apartamento en venta en Cedritos;2;2;84;Cedritos;USAQUEN;USAQUEN;$ 490.000.000
Apartamento;Apartamento en venta en Fontibon;3;3;116;Fontibon;Fontibon;Fontibon;$ 700.000.000
Casa;Casa en venta en Normandia;5;3;232;Normandia;ENGATIVÁ: Santa Cecilia + Jardin  Botanico;ENGATIVÁ;$ 1.100.000.000
Casa;Casa en venta en Teusaquillo;5;3;282;Teusaquillo;Teusaquillo;Teusaquillo;$ 990.000.000
Casa;Casa en venta en Suba;3;7;600;Suba;Suba;Suba;$ 2.500.000.000
Casa;Casa en venta en Teusaquillo;10;7;400;Teusaquillo;Teusaquillo;Teusaquillo;$ 1.200.000.000
Apartamento;Apartamento en venta en USAQUEN;2;2;50;USAQUEN;USAQUEN;USAQUEN;$ 245.000.000
Casa;Casa en venta en Engativa;2;2;61;Engativa;Engativa;Engativa;$ 220.000.000
Apartamento;Apartamento en venta en Chapinero;2;2;61;Chapinero;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 335.000.000
Apartamento;Apartamento en venta en Kennedy;2;1;42;Kennedy;Kennedy Central;Kennedy Central;$ 140.000.000
Apartamento;Apartamento en venta en Sotavento;2;2;57;Sotavento;CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo;CIUDAD BOLÍVAR;$ 280.000.000
Casa;Casa en venta en USAQUEN;3;3;152;USAQUEN;USAQUEN;USAQUEN;$ 599.000.000
Apartamento;Apartamento en venta en Suba;3;2;62;Suba;Suba;Suba;$ 185.000.000
Apartamento;Apartamento en venta en USAQUEN;3;3;170;USAQUEN;USAQUEN;USAQUEN;$ 1.000.000.000
Casa;Casa en venta en Kennedy;6;2;332;Kennedy;Kennedy Central;Kennedy Central;$ 850.000.000
Casa;Casa en venta en Engativa;5;3;210;Engativa;Engativa;Engativa;$ 310.000.000
Casa;Casa en venta en Antonio Nariño;5;4;364;Antonio Nariño;Restrepo;Restrepo;$ 750.000.000
Apartamento;Apartamento en venta en Tintala;2;2;53;Tintala;Tintala;Tintala;$ 223.000.000
Casa;Casa en venta en Suba;4;3;110;Suba;Suba;Suba;$ 370.000.000
Apartamento;Apartamento en venta en USAQUEN;3;5;157;USAQUEN;USAQUEN;USAQUEN;$ 750.000.000
Apartamento;Apartamento en venta en Santa Barbara;3;3;165;Santa Barbara;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 590.000.000
Apartamento;Apartamento en venta en Chico Reservado;2;2;98;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 730.000.000
Apartamento;Apartamento en venta en Chico Norte;1;1;66;Chico Norte;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 724.460.000
Casa;Casa en venta en Suba;6;3;114;Suba;Suba;Suba;$ 499.000.000
Lote;Lote en venta en Barrios Unidos;8;9;746;Barrios Unidos;Los Andes;Los Andes;$ 2.080.000.000
Casa;Casa en venta en Kennedy;6;3;210;Kennedy;Kennedy Central;Kennedy Central;$ 320.000.000
Apartamento;Apartamento en venta en Barrios Unidos;2;1;36;Barrios Unidos;Los Andes;Los Andes;$ 84.000.000
Casa;Casa en venta en Barrios Unidos;3;2;120;Barrios Unidos;Los Andes;Los Andes;$ 129.800.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;81;Barrios Unidos;Los Andes;Los Andes;$ 332.500.000
Apartamento;Apartamento en venta en Los Martires;4;2;200;Los Martires;La Sabana;La Sabana;$ 600.000.000
Casa;Casa en venta en Barrios Unidos;3;2;120;Barrios Unidos;Los Andes;Los Andes;$ 129.800.000
Apartamento;Apartamento en venta en USAQUEN;3;3;151;USAQUEN;USAQUEN;USAQUEN;$ 670.000.000
Casa;Casa en venta en Engativa;4;3;150;Engativa;Engativa;Engativa;$ 199.900.000
Apartamento;Apartamento en venta en USAQUEN;3;4;303;USAQUEN;USAQUEN;USAQUEN;$ 1.250.000.000
Apartamento;Apartamento en venta en Bella Suiza;2;3;85;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 699.927.000
Casa;Casa en venta en Zona Noroccidental;3;5;187;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.500.000.000
Apartamento;Apartamento en venta en Bella Suiza;3;3;93;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 775.564.000
Casa;Casa en venta en Suba;4;3;135;Suba;Suba;Suba;$ 345.000.000
Casa;Casa en venta en Barrios Unidos;3;3;116;Barrios Unidos;Los Andes;Los Andes;$ 206.375.776
Apartamento;Apartamento en venta en Barrios Unidos;3;2;68;Barrios Unidos;Los Andes;Los Andes;$ 145.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;101;Barrios Unidos;Los Andes;Los Andes;$ 470.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;81;Barrios Unidos;Los Andes;Los Andes;$ 332.500.000
Apartamento;Apartamento en venta en Chapinero Central;1;2;43;Chapinero Central;CHAPINERO: CENTRAL;CHAPINERO: CENTRAL;$ 280.500.000
Casa;Casa en venta en Barrios Unidos;4;2;101;Barrios Unidos;Los Andes;Los Andes;$ 157.200.000
Apartamento;Apartamento en venta en Cedritos;3;2;166;Cedritos;USAQUEN;USAQUEN;$ 650.000.000
Casa;Casa en venta en Alhambra;3;2;197;Alhambra;La Alhambra;La Alhambra;$ 1.100.000.000
Apartamento;Apartamento en venta en Kennedy;3;2;55;Kennedy;Kennedy Central;Kennedy Central;$ 235.000.000
Apartamento;Apartamento en venta en Engativa;3;2;66;Engativa;Engativa;Engativa;$ 330.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;162;Barrios Unidos;Los Andes;Los Andes;$ 470.500.000
Apartamento;Apartamento en venta en Bella Suiza;1;2;61;Bella Suiza;USAQUEN: Country Club + Santa Barbara;USAQUEN;$ 497.391.000
Apartamento;Apartamento en venta en Cedritos;1;2;60;Cedritos;USAQUEN;USAQUEN;$ 331.000.000
Apartamento;Apartamento en venta en Cundinamarca - Bogota D.C.;3;2;130;USAQUEN;USAQUEN;USAQUEN;$ 720.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;40;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 160.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;40;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 200.000.000
Apartamento;Apartamento en venta en Kennedy;2;2;74;Kennedy;Kennedy Central;Kennedy Central;$ 474.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;77;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 320.000.000
Apartamento;Apartamento en venta en Chico Reservado;3;2;104;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 500.000.000
Casa;Casa en venta en Zona Noroccidental;4;3;86;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 430.000.000
Casa;Casa en venta en USAQUEN;3;4;1200;USAQUEN;USAQUEN;USAQUEN;$ 2.200.000.000
Apartamento;Apartamento en venta en Teusaquillo;4;5;156;Teusaquillo;Teusaquillo;Teusaquillo;$ 776.000.000
Apartamento;Apartamento en venta en Cedritos;2;2;78;Cedritos;USAQUEN;USAQUEN;$ 400.000.000
Apartamento;Apartamento en venta en USAQUEN;3;2;95;USAQUEN;USAQUEN;USAQUEN;$ 450.000.000
Apartamento;Apartamento en venta en Chico Reservado;1;1;65;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 370.000.000
Apartamento;Apartamento en venta en USAQUEN;3;2;101;USAQUEN;USAQUEN;USAQUEN;$ 370.000.000
Apartamento;Apartamento en venta en Teusaquillo;1;1;29;Teusaquillo;Teusaquillo;Teusaquillo;$ 175.000.000
Apartamento;Apartamento en venta en Teusaquillo;1;1;22;Teusaquillo;Teusaquillo;Teusaquillo;$ 175.000.000
Casa;Casa en venta en Zona Noroccidental;4;5;426;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 1.650.000.000
Apartamento;Apartamento en venta en Santa Fe;2;2;55;Santa Fe;SANTA FE: Las Nieves + Sagrado Corazon;SANTA FE;$ 165.000.000
Casa;Casa en venta en Zona Noroccidental;4;4;314;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 950.000.000
Apartamento;Apartamento en venta en Chico Reservado;3;4;164;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 1.200.000.000
Apartamento;Apartamento en venta en USAQUEN;2;4;140;USAQUEN;USAQUEN;USAQUEN;$ 850.000.000
Casa;Casa en venta en Cundinamarca - Bogota D.C. - San Rafael;5;4;150;Puente Aranda;PUENTE ARANDA: Zona Industrial + Puente Aranda;PUENTE ARANDA;$ 700.000.000
Apartamento;Apartamento en venta en Cundinamarca - Bogota D.C. - Chico ;2;3;118;Chico Reservado;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 599.000.000
Apartamento;Apartamento en venta en Cedritos;3;3;79;Cedritos;USAQUEN;USAQUEN;$ 330.000.000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;52;Barrios Unidos;Los Andes;Los Andes;$ 250.000.000
Apartamento;Apartamento en venta en USAQUEN;2;3;142;USAQUEN;USAQUEN;USAQUEN;$ 800.000.000
Apartamento;Apartamento en venta en USAQUEN;4;3;78;USAQUEN;USAQUEN;USAQUEN;$ 358.000.000
Apartamento;Apartamento en venta en Puente Aranda;3;2;50;Puente Aranda;PUENTE ARANDA: Zona Industrial + Puente Aranda;PUENTE ARANDA;$ 185.000.000
Apartamento;Apartamento en venta en El Chico;3;2;101;El Chico;CHAPINERO: Chico Lago + El Refugio;CHAPINERO;$ 530.000.000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;71;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;CHAPINERO;$ 350.000.000
